id,category,price,brand,itemname,size,unit
1,large bottled drinks,2.15,coca-cola,coca-cola original taste 1.5l pm £2.15 or 2 for £3.30,1.5,ltr
2,large bottled drinks,1.15,evian,evian natural mineral water 1.5l,1.5,ltr
3,large bottled drinks,1.99,coca-cola,diet coke 1.75l pm £1.99 or 2 for £3,1.75,ltr
4,large bottled drinks,2.15,coca-cola,coca-cola cherry 1.5l pm £2.15 or 2 for £3.30,1.5,ltr
5,large bottled drinks,1.89,dr pepper,dr pepper 2l pm £1.89,2.0,ltr
6,large bottled drinks,1.89,fanta,fanta orange 2l pm £1.89,2.0,ltr
7,large bottled drinks,1.89,fanta,fanta fruit twist 2l pm £1.89,2.0,ltr
8,large bottled drinks,1.69,sprite,sprite 2l pm £1.69,2.0,ltr
9,large bottled drinks,0.59,best-one,best-one soda water 1 litre,1.0,ltr
10,large bottled drinks,0.59,best-one,best-one indian tonic water 1 litre,1.0,ltr
11,large bottled drinks,0.59,best-one,best-one indian tonic water low calorie 1 litre,1.0,ltr
12,large bottled drinks,1.39,r.white's,r.white's premium lemonade 2l,2.0,ltr
13,large bottled drinks,1.5,coca-cola,coca-cola original taste 1l pm £1.50,1.0,ltr
14,large bottled drinks,1.39,s.pellegrino,san pellegrino sparkling natural mineral water 1l,1.0,ltr
15,large bottled drinks,2.59,pepsi,pepsi 1.5l,1.5,ltr
16,large bottled drinks,3.19,grace,grace say aloe vera drink original flavour 1.5l,1.5,ltr
17,large bottled drinks,1.79,lipton,lipton ice tea peach flavoured still soft drink 1.25l,1.25,ltr
18,large bottled drinks,1.99,pepsi,diet pepsi 1.5l,1.5,ltr
19,large bottled drinks,1.79,lipton,lipton ice tea lemon flavoured still soft drink 1.25l,1.25,ltr
20,large bottled drinks,2.59,7up,7up regular 1.5 litres,1.5,ltr
21,large bottled drinks,2.25,coca-cola,diet coke 1.75l,1.75,ltr
22,large bottled drinks,2.59,coca-cola,coca-cola original taste 1.5l,1.5,ltr
23,large bottled drinks,1.99,tango,tango original orange 1.5 litres,1.5,ltr
24,large bottled drinks,2.19,7up,7up free 1.5 litres,1.5,ltr
25,large bottled drinks,2.49,cawston press,cawston press apple & ginger 1 litre,1.0,ltr
26,large bottled drinks,2.49,cawston press,cawston press apple & rhubarb 1 litre,1.0,ltr
27,large bottled drinks,2.49,cawston press,cawston press apple & elderflower 1 litre,1.0,ltr
28,large bottled drinks,2.25,coca-cola,coca-cola zero sugar 1.75l,1.75,ltr
29,large bottled drinks,1.19,r.white’s,r.white's premium lemonade 1.5l,1.5,ltr
30,large bottled drinks,1.99,coca-cola,diet coke 1.5l,1.5,ltr
31,large bottled drinks,1.5,schweppes,schweppes original lemonade 1.5l,1.5,ltr
32,bottled fruit juice,1.15,grace,grace say aloe vera drink original flavour £1.15 pmp 500ml,500.0,ml
33,bottled fruit juice,1.15,grace,grace say aloe vera drink strawberry flavour £1.15 pmp 500ml,500.0,ml
34,bottled fruit juice,1.15,grace,grace say aloe vera drink mango flavour £1.15 pmp 500ml,500.0,ml
35,bottled fruit juice,0.79,robinsons fruit shoot,robinsons fruit shoot apple and blackcurrant 275ml,275.0,ml
36,bottled fruit juice,1.0,drench,drench juicy spring water peach & mango 12 x 500ml,500.0,ml
37,bottled fruit juice,1.15,grace,grace say aloe reduced sugar drink original flavour 500ml,500.0,ml
38,bottled fruit juice,1.49,drench,drench tropical 500ml,500.0,ml
39,bottled fruit juice,0.79,robinsons fruit shoot,robinsons fruit shoot orange juice drink 275ml,275.0,ml
40,bottled fruit juice,2.69,shloer,shloer red grape sparkling juice drink 750ml,750.0,ml
41,bottled fruit juice,1.49,drench,drench berry 500ml,500.0,ml
42,bottled fruit juice,1.49,drench,drench citrus 500ml,500.0,ml
43,bottled fruit juice,1.99,white pearl,white pearl apple non-alcoholic sparkling juice drink 750ml,750.0,ml
44,bottled fruit juice,1.99,white pearl,white pearl white grape & peach non-alcoholic sparkling juice drink 750ml,750.0,ml
45,bottled fruit juice,1.99,white pearl,white pearl apple non-alcoholic sparkling juice drink 750ml,750.0,ml
46,bottled fruit juice,0.79,schweppes,schweppes orange juice 200ml glass (case of 24),200.0,ml
47,bottled fruit juice,0.79,schweppes,schweppes tomato juice mix 24 x 200ml glass,200.0,ml
48,bottled fruit juice,2.69,shloer,shloer white grape sparkling juice drink 750ml,750.0,ml
49,bottled fruit juice,1.99,white pearl,white pearl white grape & peach non-alcoholic sparkling juice drink 750ml,750.0,ml
50,bottled fruit juice,1.99,white pearl,white pearl white grape non-alcoholic sparkling juice drink 750ml,750.0,ml
51,bottled fruit juice,1.99,white pearl,white pearl white grape non-alcoholic sparkling juice drink 750ml,750.0,ml
52,bottled fruit juice,0.75,schweppes,schweppes pineapple juice 125ml,125.0,ml
53,bottled fruit juice,0.75,schweppes,schweppes tomato juice 125ml,125.0,ml
54,bottled fruit juice,0.75,schweppes,schweppes orange juice 125ml,125.0,ml
55,energy and health drinks,1.35,monster,monster energy 500ml £1.35,500.0,ml
56,energy and health drinks,1.29,red bull,"red bull energy drink, pm £1.29, 250ml (24 pack)",250.0,ml
57,energy and health drinks,0.49,boost,boost energy original 250ml,250.0,ml
58,energy and health drinks,1.0,relentless,relentless origin 500ml pmp £1,500.0,ml
59,energy and health drinks,1.09,lucozade,lucozade energy orange 380ml pmp £1.09 or 2 for £2,380.0,ml
60,energy and health drinks,1.99,red bull,"red bull energy drink, 473ml, pm £1.99 (12 pack)",473.0,ml
61,energy and health drinks,1.09,lucozade,lucozade sport orange 500ml £1.09 or 2 for £2,500.0,ml
62,energy and health drinks,1.35,monster,monster mango loco 500ml pmp £1.35,500.0,ml
63,energy and health drinks,1.35,monster,monster pipeline punch 500ml pmp £1.35,500.0,ml
64,energy and health drinks,0.39,best-one,best-one energy drink 250ml,250.0,ml
65,energy and health drinks,1.39,monster,monster energy pacific punch 500ml pm £1.39,500.0,ml
66,energy and health drinks,0.49,best-one,best-one sport isotonic drink orange 500ml,500.0,ml
67,energy and health drinks,0.5,boost,boost sport mixed berry 500ml,500.0,ml
68,energy and health drinks,0.5,boost,boost sport orange 500ml,500.0,ml
69,energy and health drinks,1.25,monster,monster energy ultra zero 500ml pmp £1.25,500.0,ml
70,energy and health drinks,1.29,monster,monster energy ultra 500ml pm £1.29,500.0,ml
71,energy and health drinks,0.99,rockstar,rockstar punched guava 500ml can,500.0,ml
72,energy and health drinks,0.99,rockstar,"rockstar xdurance blueberry, pomegranate & acai energy drink 500ml can, pmp 99p",500.0,ml
73,energy and health drinks,1.09,lucozade,lucozade energy original 380ml £1.09 or 2 for £2 pmp,380.0,ml
74,energy and health drinks,1.09,lucozade,lucozade sport raspberry 500ml £1.09 or 2 for £2,500.0,ml
75,energy and health drinks,1.59,red bull,"red bull energy drink, 355ml, pm £1.59 (24 pack)",355.0,ml
76,energy and health drinks,0.79,boost,boost energy original 500ml,500.0,ml
